Distance_(pixels),Gray_Value,,Gray_Value,,Max Value,,Row of max value
885,27.57,,0.895187999,,,,
886,27.504,,0.893045003,,,,
887,27.599,,0.896129619,,,,
888,27.693,,0.899181765,,,,
889,27.875,,0.90509124,,,,
890,27.701,,0.899441522,,,,
891,27.844,,0.904084681,,,,
892,27.945,,0.907364115,,,,
893,28.042,,0.91051367,,,,
894,27.783,,0.902104033,,,,
895,27.627,,0.897038769,,,,
896,27.432,,0.890707189,,,,
897,27.45,,0.891291642,,,,
898,27.375,,0.888856419,,,,
899,27.434,,0.890772128,,,,
900,27.344,,0.88784986,,,,
901,27.516,,0.893434639,,,,
902,27.528,,0.893824274,,,,
903,27.807,,0.902883304,,,,
904,27.899,,0.905870511,,,,
905,28.025,,0.909961686,,,,
906,28.004,,0.909279823,,,,
907,27.813,,0.903078122,,,,
908,27.541,,0.89424638,,,,
909,27.453,,0.891389051,,,,
910,27.341,,0.887752451,,,,
911,27.576,,0.895382817,,,,
912,27.707,,0.89963634,,,,
913,27.883,,0.905350997,,,,
914,27.965,,0.908013507,,,,
915,27.864,,0.904734074,,,,
916,27.596,,0.89603221,,,,
917,27.709,,0.899701279,,,,
918,27.72,,0.900058445,,,,
919,27.873,,0.9050263,,,,
920,27.87,,0.904928891,,,,
921,27.82,,0.903305409,,,,
922,27.73,,0.900383142,,,,
923,27.59,,0.895837392,,,,
924,27.505,,0.893077473,,,,
925,27.744,,0.900837717,,,,
926,27.706,,0.89960387,,,,
927,27.581,,0.895545165,,,,
928,27.141,,0.881258523,,,,
929,26.881,,0.872816417,,,,
930,26.707,,0.867166699,,,,
931,26.698,,0.866874472,,,,
932,26.593,,0.86346516,,,,
933,26.784,,0.869666861,,,,
934,26.799,,0.870153906,,,,
935,26.699,,0.866906942,,,,
936,26.599,,0.863659978,,,,
937,26.549,,0.862036496,,,,
938,26.509,,0.86073771,,,,
939,26.538,,0.86167933,,,,
940,26.407,,0.857425807,,,,
941,26.378,,0.856484187,,,,
942,26.376,,0.856419248,,,,
943,26.418,,0.857782973,,,,
944,26.524,,0.861224755,,,,
945,26.621,,0.86437431,,,,
946,26.61,,0.864017144,,,,
947,26.553,,0.862166374,,,,
948,26.613,,0.864114553,,,,
949,26.903,,0.873530749,,,,
950,27.104,,0.880057147,,,,
951,27.071,,0.878985648,,,,
952,26.724,,0.867718683,,,,
953,26.535,,0.861581921,,,,
954,26.473,,0.859568803,,,,
955,26.607,,0.863919735,,,,
956,26.801,,0.870218845,,,,
957,26.807,,0.870413663,,,,
958,26.503,,0.860542892,,,,
959,26.224,,0.851483863,,,,
960,26.2,,0.850704591,,,,
961,26.376,,0.856419248,,,,
962,26.697,,0.866842003,,,,
963,26.835,,0.871322813,,,,
964,26.856,,0.872004676,,,,
965,26.644,,0.865121112,,,,
966,26.266,,0.852847588,,,,
967,26.127,,0.848334307,,,,
968,26.156,,0.849275927,,,,
969,26.236,,0.851873498,,,,
970,26.473,,0.859568803,,,,
971,26.298,,0.853886616,,,,
972,26.161,,0.849438275,,,,
973,26.137,,0.848659004,,,,
974,25.995,,0.844048315,,,,
975,25.939,,0.842230015,,,,
976,25.944,,0.842392363,,,,
977,26.113,,0.847879732,,,,
978,26.331,,0.854958114,,,,
979,26.162,,0.849470745,,,,
980,25.939,,0.842230015,,,,
981,25.876,,0.840184428,,,,
982,25.921,,0.841645561,,,,
983,26.007,,0.844437951,,,,
984,26.062,,0.846223781,,,,
985,26.086,,0.847003052,,,,
