Distance_(pixels),Gray_Value,,black values,,,,white values,
0,233.154,,45.615,58.231,34.692,,140.231,91.692
1,234,,28.154,29.231,24.615,,237.308,219.846
2,237.538,,22.231,38.385,27.077,,238.538,236.923
3,241.769,,34.769,29.692,59.154,,230.231,233.154
4,218.692,,,,,,237.231,234.308
5,101.385,,,35.98716667,,,240.231,243.769
6,45.615,,,,,,148.923,184.077
7,28.154,,,,,,,70.308
8,22.231,,,,,,,
9,34.769,,,,,,199.118,
10,140.231,,,,,,,
11,237.308,,,,,,,
12,238.538,,,,,,,
13,230.231,,,,,,,
14,237.231,,,,,,,
15,240.231,,,,,,,
16,148.923,,,,,,,
17,58.231,,,,,,,
18,29.231,,,,,,,
19,38.385,,,,,,,
20,29.692,,,,,,,
21,91.692,,,,,,,
22,219.846,,,,,,,
23,236.923,,,,,,,
24,233.154,,,,,,,
25,234.308,,,,,,,
26,243.769,,,,,,,
27,184.077,,,,,,,
28,70.308,,,,,,,
29,34.692,,,,,,,
30,24.615,,,,,,,
31,27.077,,,,,,,
32,59.154,,,,,,,
33,198.308,,,,,,,
34,244,,,,,,,
35,232.385,,,,,,,
